zipcode,violent_crime_index
10026,71
10027,70.7
10030,85.2
10037,78.9
10039,85.2
10001,48.3
10011,40.7
10018,49
10019,45.4
10020,37.1
10036,53.1
10029,76
10035,80.9
10010,40.1
10016,39.3
10017,35.9
10022,29
10012,40.9
10013,39
10014,40.1
10004,40.5
10005,42.7
10006,45
10007,37.9
10038,48.2
10280,39
10002,56.7
10003,38.9
10009,58.2
10021,33
10028,33.9
10044,37.8
10065,33.2
10075,32.4
10128,38.7
10023,35.6
10024,36.6
10025,47.1
10031,72.7
10032,70.6
10033,64.8
10034,71.5
10040,67.3
