hotel_name,zip,lat_long
"The Plaza Hotel, New York",10019,"['40.764238', '-73.973881']"
"The Surrey, New York",10021,"['40.774487', '-73.963871']"
"East Village Townhouse, New York",10003,"['40.727216', '-73.988123']"
"Gramercy Park Hotel, New York",10010,"['40.738481', '-73.985496']"
"Hotel Pennsylvania, New York",10001,"['40.749955', '-73.99137']"
"Night Hotel Times Square, New York",10036,"['40.758975', '-73.984045']"
"The Milburn Hotel, New York",10023,"['40.782037', '-73.981731']"
"104 Forsyth St. - Apt #5 - 2 Br Apts, New York",10002,"['40.7184', '-73.9927']"
"DoubleTree by Hilton New York City - Financial District, New York",10004,"['40.70402', '-74.01242']"
"Residence Inn Marriott New York Downtown Manhattan/WTC Area, New York",10003,"['40.709657', '-74.010093']"
"The Sherry Netherland, New York",10022,"['40.76453', '-73.97285']"
"The Franklin Hotel, New York",10128,"['40.779886', '-73.954404']"
"Orchard Street Hotel, New York",10002,"['40.721083', '-73.988709']"
"Northern Lights Mansion, New York",10027,"['40.807343', '-73.950514']"
"Staybridge Suites Times Square, New York",10018,"['40.756731', '-73.992607']"
"Studio Plus, New York",10001,"['40.747288', '-73.987753']"
"Fairfield Inn & Suites New York Manhattan/Downtown East, New York",10002,"['40.713128', '-73.992859']"
"Beautiful Two Bedroom Manhattan Apartment, New York",10128,"['40.77837', '-73.94733']"
"City Club Hotel, New York",10036,"['40.755772', '-73.982292']"
"Best Western Plus Hospitality House, New York",10022,"['40.755593', '-73.972159']"
"Holiday Inn Express New York City- Wall Street, New York",10005,"['40.705437', '-74.007122']"
"Four Points By Sheraton Manhattan Midtown West, New York",10001,"['40.75506', '-73.99868']"
"Pod Times Square, New York",10036,"['40.758563', '-73.992993']"
"Wall Street Apartment, New York",10005,"['40.704946', '-74.007531']"
"The Gatsby Hotel, New York",10002,"['40.72312', '-73.99024']"
"Luxury Studio Suite w/ Free Continental Breakfast Studio Bedroom 1 Bathroom Apts, New York",10017,"['40.753401', '-73.966174']"
"W New York - Union Square, New York",10003,"['40.73653', '-73.98899']"
"Luxury Suites Lenox Ave , New York",10027,"['40.806222', '-73.946685']"
"Four Seasons Hotel New York Downtown, New York",10007,"['40.712544', '-74.009306']"
"45th Street #226384 - 1 Br Condo, New York",10017,"['40.75269', '-73.97276']"
"Dylan Hotel NYC, New York",10017,"['40.75193', '-73.97926']"
"The William, New York",10016,"['40.75057', '-73.98019']"
"Luxury Suites Upper West Brownstone, New York",10030,"['40.818223', '-73.942784']"
"Heritage Hotel, New York",10010,"['40.743375', '-73.989991']"
"Refinery Hotel, New York",10018,"['40.752109', '-73.985461']"
"The Chatwal, a Luxury Collection Hotel, New York City, New York",10036,"['40.7565', '-73.98458']"
"Courtyard by Marriott New York Manhattan / Chelsea, New York",10001,"['40.74803', '-73.9914']"
"Pod 39, New York",10016,"['40.749285', '-73.976698']"
"Incentra Village Hotel, New York",10014,"['40.738', '-74.004299']"
"Renovated 2 BR Central Park, New York",10019,"['40.764721', '-73.988061']"
"Hotel 48LEX New York, New York",10017,"['40.75525', '-73.9732']"
"The Peninsula New York, New York",10022,"['40.76165', '-73.9749']"
"GEM Hotel - Chelsea, New York",10011,"['40.7447', '-73.9991']"
"Holiday Inn Express Manhattan Times Square South, New York",10018,"['40.751079', '-73.98685']"
"Chelsea Mews Guest House All Male, New York",10011,"['40.74103', '-74.00379']"
"Cambria Hotel New York - Times Square, New York",10036,"['40.756682', '-73.98049']"
"Chambers Hotel, New York",10019,"['40.76249', '-73.9749']"
"Rostel- Hostel, New York",10029,"['40.79842', '-73.941141']"
"Hamilton Heights Lovely Apartments, New York",10031,"['40.81982', '-73.95287']"
"NoMo SoHo, New York",10013,"['40.719921', '-74.000304']"
"The Pierre, A Taj Hotel, New York, New York",10065,"['40.765341', '-73.972221']"
"onefinestay - Upper West Side private homes, New York",10025,"['40.791474', '-73.974117']"
"Amazing Studio in the Heart of Manhattan, New York",10065,"['40.768779', '-73.968182']"
"Midtown West Vacation Rentals, New York",10019,"['40.754821', '-73.995251']"
"Hampton Inn New York - 35th Street - Empire State Building, New York",10001,"['40.750129', '-73.986505']"
"Bryant Park Studio Apartment next to Times Square, New York",10018,"['40.752293', '-73.985893']"
"Hampton Inn Manhattan-Seaport-Financial District, New York",10038,"['40.709012', '-74.002244']"
"Chelsea Studio DR05, New York",10001,"['40.743656', '-73.990662']"
"Midtown East 1 Bedroom DR08, New York",10022,"['40.75724', '-73.96824']"
"AKA United Nations, New York",10017,"['40.75266', '-73.97133']"
"The Manhattan at Times Square Hotel, New York",10019,"['40.762045', '-73.982587']"
"Renaissance New York Hotel 57, New York",10022,"['40.761028', '-73.969514']"
"The Park Ave North, New York",10035,"['40.807801', '-73.937651']"
"Soho Garden Hotel, New York",10013,"['40.719179', '-74.001653']"
